"","Year","Country Name","Indicator Name","Value","Month","Palestinians Killed","Israelis Killed","Poverty_Level","Total_Killed"
"1","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"AUGUST",53,13,"medium_poverty",66
"2","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"FEBRUARY",85,29,"medium_poverty",114
"3","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"JANUARY",28,16,"medium_poverty",44
"4","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"JUNE",57,57,"medium_poverty",114
"5","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"OCTOBER",66,22,"medium_poverty",88
"6","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"SEPTEMBER",51,13,"medium_poverty",64
"7","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"MARCH",237,122,"medium_poverty",359
"8","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"DECEMBER",72,7,"medium_poverty",79
"9","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"NOVEMBER",46,40,"medium_poverty",86
"10","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"MAY",48,29,"medium_poverty",77
"11","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"JULY",43,25,"medium_poverty",68
"12","2002","West Bank and Gaza","Population living in slums (% of urban population)",30,"APRIL",246,46,"medium_poverty",292
"13","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"JUNE",59,3,"medium_poverty",62
"14","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"DECEMBER",61,8,"medium_poverty",69
"15","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"AUGUST",39,17,"medium_poverty",56
"16","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"JULY",0,0,"medium_poverty",0
"17","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"APRIL",55,3,"medium_poverty",58
"18","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"MAY",113,19,"medium_poverty",132
"19","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"OCTOBER",145,3,"medium_poverty",148
"20","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"SEPTEMBER",112,11,"medium_poverty",123
"21","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"JANUARY",27,15,"medium_poverty",42
"22","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"FEBRUARY",54,11,"medium_poverty",65
"23","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"NOVEMBER",42,3,"medium_poverty",45
"24","2004","West Bank and Gaza","Population living in slums (% of urban population)",30,"MARCH",79,11,"medium_poverty",90
"25","2004","West Bank and Gaza","Income share held by lowest 10%",3,"JUNE",59,3,"high_poverty",62
"26","2004","West Bank and Gaza","Income share held by lowest 10%",3,"DECEMBER",61,8,"high_poverty",69
"27","2004","West Bank and Gaza","Income share held by lowest 10%",3,"AUGUST",39,17,"high_poverty",56
"28","2004","West Bank and Gaza","Income share held by lowest 10%",3,"JULY",0,0,"high_poverty",0
"29","2004","West Bank and Gaza","Income share held by lowest 10%",3,"APRIL",55,3,"high_poverty",58
"30","2004","West Bank and Gaza","Income share held by lowest 10%",3,"MAY",113,19,"high_poverty",132
"31","2004","West Bank and Gaza","Income share held by lowest 10%",3,"OCTOBER",145,3,"high_poverty",148
"32","2004","West Bank and Gaza","Income share held by lowest 10%",3,"SEPTEMBER",112,11,"high_poverty",123
"33","2004","West Bank and Gaza","Income share held by lowest 10%",3,"JANUARY",27,15,"high_poverty",42
"34","2004","West Bank and Gaza","Income share held by lowest 10%",3,"FEBRUARY",54,11,"high_poverty",65
"35","2004","West Bank and Gaza","Income share held by lowest 10%",3,"NOVEMBER",42,3,"high_poverty",45
"36","2004","West Bank and Gaza","Income share held by lowest 10%",3,"MARCH",79,11,"high_poverty",90
"37","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"JUNE",59,3,"high_poverty",62
"38","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"DECEMBER",61,8,"high_poverty",69
"39","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"AUGUST",39,17,"high_poverty",56
"40","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"JULY",0,0,"high_poverty",0
"41","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"APRIL",55,3,"high_poverty",58
"42","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"MAY",113,19,"high_poverty",132
