"Year","Poverty_Level","Average_Total_Killed"
"2002","medium_poverty",120.916666666667
"2004","high_poverty",74.1666666666667
"2005","high_poverty",20.0833333333333
"2006","high_poverty",57.0833333333333
"2007","high_poverty",33.0833333333333
"2008","medium_poverty",77.0833333333333
"2009","high_poverty",87.0833333333333
"2010","high_poverty",7.58333333333333
"2011","high_poverty",10.5833333333333
"2012","medium_poverty",21.8333333333333
"2014","medium_poverty",197
"2016","high_poverty",10.5833333333333
"2018","medium_poverty",25.3333333333333
"2020","medium_poverty",3.08333333333333
